Material_ID,Title,Publication_Date,Catalog_ID,Genre_ID
1,The Catcher in the Rye,1951-07-16,1,1
2,To Kill a Mockingbird,1960-07-11,2,1
3,The Da Vinci Code,2003-04-01,3,2
4,The Hobbit,1937-09-21,4,3
5,The Shining,1977-01-28,5,4
6,Pride and Prejudice,1813-01-28,1,1
7,The Great Gatsby,1925-04-10,2,1
8,Moby Dick,1851-10-18,3,1
9,Crime and Punishment,1866-01-01,4,1
10,The Hitchhiker's Guide to the Galaxy,1979-10-12,5,3
11,1984,1949-06-08,1,5
12,Animal Farm,1945-08-17,2,5
13,The Haunting of Hill House,1959-10-17,3,4
14,Brave New World,1932-08-01,4,5
15,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,1950-10-16,5,3
16,The Adventures of Huckleberry Finn,1884-12-10,6,1
17,The Catch-22,1961-10-11,7,1
18,The Picture of Dorian Gray,1890-07-01,8,1
19,The Call of Cthulhu,1928-02-01,9,4
20,Harry Potter and the Philosopher's Stone,1997-06-26,10,3
21,Frankenstein,1818-01-01,6,4
22,A Tale of Two Cities,1859-04-30,7,1
23,The Iliad,1750-01-01,8,6
24,The Odyssey,1725-01-01,9,6
25,The Brothers Karamazov,1880-01-01,10,1
26,The Divine Comedy,1320-01-01,6,6
27,The Grapes of Wrath,1939-04-14,7,1
28,The Old Man and the Sea,1952-09-01,8,1
29,The Count of Monte Cristo,1844-01-01,9,1
30,A Midsummer Night's Dream,1596-01-01,10,7
31,The Tricky Book,1888-01-01,10,7
